text_id,round,text,label,id,group,AI_confidence,Human_confidence
331,1,前几天去日本帮@prlady爱美丽 美人儿带回来的红爆日本的假睫毛~仔细看看，确实很讲究！上睫毛甚至每束的量和长度都不一样，效果就会非常生动自然~下睫毛也优秀得令人惊讶，不知成为多少女孩的福音~上睫毛还有好几种，我最喜欢这个，也卖得最好！ps美人儿外地快递还没恢复，能发了赶紧给你递过来哈！,0,5,E,5,5
837,2,最近一直在看实习医生格蕾，从第一季一直看到了第五季，等我再把第七季看完差不多就是将近200集了…想要继续看下去，一直一直。[抓狂],2,5,E,4,5
920,3,这次回家发现恩施已经嫣然变成湖北省内的一个旅游重镇了，武汉街头的广告非常多。可能确实得益于高速和铁路的开通。这是在机场的洗手间都全部是恩施旅游的宣传照。欢迎大家去体验一个原始的山区风情。,0,5,E,5,5
751,4,忙活了两天。今天总算踏实啦。早晨带着儿子去了玉渊潭滑雪，玩的不亦乐乎，比较高的坡度他居然一次次的玩，我不得不承认，我老也！体力严重不支且有小小害怕的感觉，这要早几年那是一切刺激的游戏非我莫属的主啊！明天好好上班啦,1,5,E,5,5
479,5,从上往下看，很普通的款式哦，简约的字母t恤，没有丝毫特别。看到最下边才发现，原来衣襟做成了流苏，马上就不一样了潮起来了哈。,0,5,E,5,5
425,6,"某人提醒了我，还有人欠我顿饭呢@你乐爷爷 一起蹭吃蹭喝去？//@kk-iaven：无聊 [鄙視]//@你乐爷爷:是啊必须吃好的去我们,你也去??蹲地上?不知道大董那种地方让不让你进[呵呵]",3,5,E,5,5
414,7,转发微博// @新浪体育 欧文：多么精彩的比赛！C罗绝对是一个进球机器！经历了昨晚的比赛以后别再预测谁能进决赛了！,0,5,E,4,4
727,8,电脑因停电而非正常关机 ，再次开机时系统提示windows文件丢失，要运行chikds来修复，运行修复完后提示要重新启动，结果关机在启动时，就是彻底丢失，必须重转系统，三月来，系统崩了两次，真是郁闷人啊,2,5,E,5,5
847,9,晚，我在步行街某棵树下大口啃着路边摊的烤肉卷饼，突然，一个面带笑容的男子飞奔而过跨越花坛，速度堪比刘翔，正诧异呢，一中年妇女也赶了上来，边跑边喊：抢包啦！抓住他！......早年的警察情结立马涌现，悔得我啊~早知道伸腿绊他一下多好！,0,5,E,5,5
101,10,这个新年，在微博看到两个同事回家结婚了，荣其和吴骆明，一个年青，一个成熟，两个都在中原工商铺奋斗了好多年，真替他们高兴，不过以后他们的压力会来自老婆大一点，还是上司大一点，我有点好奇，待见到他们八卦一下，呵呵呵。,1,5,E,5,5
391,11,O yeah！Gossip Girl 小礼服派对！期待！还有NOVO VIP卡和礼品赠送，宝贝儿们明天全部去hi起来。@Nicky-NOVO百貨 @NOVO重庆 @楼下的狗,0,5,E,5,5
357,12,昨晚临睡前，想着要给近日饱受催残劳顿的肌肤一点滋养，也好今天签售时对得起观众。于是选了张最水的面膜糊在脸上，昏昏的差点睡过去，挣扎地起身胡乱的擦了把脸涂了面霜，再度睡去。早上醒来，暗自叫苦！脸也肿，眼也肿！真是越在意越不给力！[抓狂],2,5,E,4,5
962,13,昨晚整理电脑才看到以前下载被我遗忘在角落的大码头全集，点开第一集开始虐之旅，话说某人的戏有不虐的咩？？呜～就这么爱上阿陆GG了？？拍得真好啊，每个都有每个的纠结无奈神马滴，心疼里面每一个人当然洋鬼子和芳华她那臭老爸除外＝＝先出去干活了，晚上回来接着虐？哈哈，上瘾了，窘！,1,5,E,4,4
83,14,小吉那个事情啊。。有多少人是跟我一样，知道了之后捶胸顿足啊~~本以为花花公子不花了，像童话一样美好。现在桑心了有木有！找外遇也来找我嘛~~~,2,5,E,4,5
540,15,京沈高速显然比古浪到兰州的路况好太多。虽然中巴不如大巴舒适，但是现在显然几个晕车王的状态都比较平稳，让我比较放心。希望这种状态能一直保持到秦皇岛。,0,5,E,4,5
770,16,把中医一般性地，科学性地，杀活地交给了学生。学生学到的是中医还是中医的尸体？要学就学鲜活的中医！十分可笑的是，医学院，尤其是中医学院的，只会教学，不会看病的比比皆是。而中医分科，各科老死不相往来，更是一件令人费解的事。,3,5,E,5,5
230,17,2011来了，今晚难得的聚会，有乌托邦的陪伴，很happy。听着我的冷太阳，迎接未来的灿烂阳光。。。你准备好了吗？我来了。。。,1,5,E,4,4
979,18,以为可以多录几次，知道你们等了很久，想多唱几次给你们听！！但导演说ok。不能唱了。外面暴雨，椰子都要注意别感冒！！唱歌时突然发现好多喜欢的明星嘉宾，朱桦老师！看见你，我老紧张了！！！！金铭，漂亮！青青河边草！吕秀才！瞿颖姐，美！[照相机],0,5,E,3,4
